city_id,nbp_period_id,hedonic_qoq_index,hedonic_yoy_index,hedonic_qoq_pct,hedonic_yoy_pct,secondary_transaction_yoy_pct,headline_minus_hedonic_yoy_pp,comparison_available,opposite_direction
1,20071,117.5396396166473,,17.539639616647307,,,,False,False
2,20071,128.81097560975613,,28.810975609756127,,,,False,False
5,20071,129.48789308919402,,29.487893089194017,,,,False,False
6,20071,115.1500365077697,,15.150036507769698,,,,False,False
7,20071,95.46287997671078,,-4.537120023289219,,,,False,False
8,20071,117.26892616894264,,17.26892616894264,,,,False,False
9,20071,100.65286692417514,,0.652866924175143,,,,False,False
10,20071,,,,,,,False,False
11,20071,106.92194403534609,,6.921944035346087,,,,False,False
12,20071,115.0523560209424,,15.052356020942398,,,,False,False
13,20071,125.75404842201864,,25.75404842201864,,,,False,False
14,20071,109.74151069485347,,9.741510694853474,,,,False,False
15,20071,107.62540998113026,,7.625409981130261,,,,False,False
16,20071,98.24347464355976,,-1.7565253564402354,,,,False,False
17,20071,145.69569963517526,,45.69569963517526,,,,False,False
1,20081,98.59512547691536,124.25183021678512,-1.4048745230846436,24.251830216785123,29.6765028710243,5.424672654239178,True,False
2,20081,102.8688524590164,118.81656804733728,2.868852459016395,18.816568047337284,22.725494890627253,3.9089268432899686,True,False
5,20081,96.29622958194707,104.98814601811851,-3.703770418052926,4.988146018118513,46.56855755408999,41.58041153597148,True,False
6,20081,104.67425673869236,135.65525013409788,4.674256738692364,35.655250134097884,35.94409185145197,0.2888417173540887,True,False
7,20081,96.77581950068578,107.20706104637728,-3.2241804993142154,7.207061046377277,-0.6045305256802469,-7.811591572057523,True,True
8,20081,100.59482617802782,135.9072187023858,0.5948261780278159,35.90721870238579,35.25399353116367,-0.6532251712221182,True,False
9,20081,103.4792191636794,129.8846819588693,3.479219163679403,29.884681958869294,19.608446287880298,-10.276235670988996,True,False
10,20081,97.6900864024034,,-2.309913597596605,,9.35389359693466,,False,False
11,20081,106.42201834862388,143.801652892562,6.4220183486238795,43.801652892562004,32.52005087140919,-11.281602021152814,True,False
12,20081,91.421143847487,120.02275312855517,-8.578856152512998,20.022753128555166,4.66965351969737,-15.353099608857796,True,False
13,20081,100.23654615514543,117.1433666066844,0.2365461551454331,17.143366606684395,28.545512402868777,11.402145796184382,True,False
14,20081,98.95548119884955,113.56580792896736,-1.0445188011504456,13.56580792896736,16.879330288984228,3.3135223600168686,True,False
15,20081,98.4362847808461,103.72684040044632,-1.5637152191539059,3.7268404004463207,3.7652205051689203,0.03838010472259956,True,False
16,20081,98.7935096873172,136.61790719761285,-1.2064903126828028,36.61790719761285,44.00872124260533,7.3908140449924815,True,False
17,20081,95.5418244431172,114.92888484082104,-4.458175556882793,14.928884840821041,28.381233609215293,13.452348768394252,True,False
1,20091,96.3671875,96.7456891890241,-3.6328125,-3.2543108109758947,-8.128003919614834,-4.873693108638939,True,False
2,20091,98.41740850642928,99.1035856573705,-1.5825914935707175,-0.8964143426294982,-1.155885505683274,-0.2594711630537758,True,False
5,20091,84.1008252634739,118.95732112450256,-15.899174736526106,18.957321124502556,-2.3414211878999946,-21.298742312402553,True,True
6,20091,94.5198404392907,95.60493438750832,-5.480159560709296,-4.395065612491678,-3.949086642109789,0.4459789703818884,True,False
7,20091,89.60062221012024,88.02281690591475,-10.399377789879765,-11.977183094085248,-0.7948644879098299,11.182318606175418,True,False
8,20091,100.283405850772,101.38877225307404,0.28340585077199876,1.3887722530740376,0.48666775723866795,-0.9021044958353697,True,False
9,20091,98.8902255088429,91.78991473834084,-1.109774491157097,-8.21008526165916,-6.297132048548615,1.9129532131105442,True,False
10,20091,84.51330479270347,86.92766367842795,-15.486695207296535,-13.072336321572052,2.450038661489562,15.522374983061614,True,True
11,20091,97.45222929936304,87.9310344827586,-2.54777070063696,-12.068965517241395,-8.530304812173007,3.538660705068388,True,False
12,20091,95.56786703601108,98.1042654028436,-4.43213296398892,-1.8957345971564052,-1.1000003079685405,0.7957342891878647,True,False
13,20091,100.28076330051051,98.15577058580187,0.28076330051051457,-1.844229414198125,0.5517482086333292,2.395977622831454,True,True
14,20091,92.841675013117,91.79938644823928,-7.158324986883002,-8.200613551760725,-6.336672077488803,1.8639414742719218,True,False
15,20091,99.34734642314324,98.70405298253118,-0.6526535768567641,-1.2959470174688192,-0.5304998262346095,0.7654471912342098,True,False
16,20091,102.26879437851449,95.18221848216824,2.2687943785144853,-4.817781517831762,-9.509157313404215,-4.691375795572453,True,False
17,20091,94.3229280047523,96.70481624911127,-5.677071995247701,-3.295183750888725,-3.2312798000244447,0.06390395086428047,True,False
1,20101,103.74331550802138,98.2975273611674,3.7433155080213822,-1.702472638832603,1.1686633862885376,2.8711360251211406,True,True
2,20101,95.9047619047619,101.20603015075378,-4.095238095238102,1.2060301507537758,3.0178603439589002,1.8118301932051244,True,False
5,20101,111.22338737799788,107.98624662225696,11.22338737799788,7.986246622256957,0.8067530297344749,-7.179493592522482,True,False
6,20101,99.0661484445978,103.23125853468775,-0.9338515554021996,3.231258534687754,3.4780475792113963,0.24678904452364225,True,False
7,20101,105.92508413782072,112.23087519437505,5.925084137820718,12.230875194375045,0.12711297152396828,-12.103762222851078,True,False
8,20101,98.24570841146824,100.3933746952634,-1.754291588531757,0.39337469526340385,-0.7514206949141955,-1.1447953901775993,True,True
9,20101,99.922285978731,101.56859375680666,-0.07771402126900284,1.5685937568066635,-2.44491958724552,-4.013513344052184,True,True
10,20101,100.3977845148066,109.73863220752564,0.3977845148066024,9.73863220752564,-2.3721962888315185,-12.110828496357158,True,True
11,20101,96.62162162162164,93.4640522875817,-3.3783783783783576,-6.535947712418306,0.763947155950162,7.299894868368468,True,True
12,20101,103.0977734753146,102.89855072463769,3.0977734753145967,2.898550724637687,-1.1464638653428172,-4.045014589980504,True,True
13,20101,96.55661182417842,95.04324862956804,-3.443388175821582,-4.9567513704319595,-4.982540374176669,-0.025789003744709937,True,False
14,20101,102.76346440829876,103.7694826089386,2.763464408298759,3.7694826089386027,0.1921956454312479,-3.5772869635073548,True,False
15,20101,102.30811818271148,103.48992404685686,2.308118182711482,3.4899240468568564,-2.502266190817559,-5.992190237674416,True,True
16,20101,104.21371998724928,98.1578508195622,4.213719987249277,-1.8421491804378007,-6.380652038351197,-4.538502857913397,True,False
17,20101,101.75958247340316,99.4848519164361,1.7595824734031567,-0.5151480835639006,1.9798988274543516,2.4950469110182523,True,True
1,20111,99.48559670781891,99.69072164948454,-0.5144032921810862,-0.3092783505154557,7.985186464722438,8.294464815237895,True,True
2,20111,101.84466019417476,104.1708043694141,1.8446601941747645,4.1708043694141,1.3797878461446755,-2.791016523269424,True,False
5,20111,101.44927536231884,95.21024711546124,1.4492753623188435,-4.789752884538757,-1.8674164130617399,2.922336471477017,True,False
6,20111,101.97603404732136,105.01427959855428,1.9760340473213631,5.014279598554282,6.500066143120931,1.4857865445666487,True,False
7,20111,106.1755726733636,101.80557104909512,6.175572673363604,1.8055710490951213,-0.33029001760983556,-2.135861066704957,True,True
8,20111,102.2844024034408,106.00615927348537,2.2844024034407937,6.006159273485366,5.695805033441892,-0.3103542400434742,True,False
9,20111,104.41299790356392,101.17543392023605,4.4129979035639195,1.1754339202360455,0.5191175002495774,-0.6563164199864682,True,False
10,20111,104.99529828863128,108.94621338419957,4.995298288631275,8.946213384199567,6.733037783000784,-2.213175601198783,True,False
11,20111,93.14082887172856,102.4765034965035,-6.859171128271441,2.476503496503497,0.9622359142360759,-1.5142675822674212,True,False
12,20111,102.40518038852916,103.94366197183098,2.4051803885291605,3.943661971830977,8.740096529249008,4.796434557418031,True,False
13,20111,98.55466888711284,99.11729898973974,-1.4453311128871604,-0.8827010102602628,-0.4870401826655213,0.3956608275947415,True,False
14,20111,98.28831194467104,97.05413471729842,-1.7116880553289633,-2.9458652827015754,1.675597503531323,4.6214627862328985,True,True
15,20111,101.04032903834752,99.74008169693292,1.0403290383475223,-0.2599183030670815,2.0543270927045665,2.314245395771648,True,True
16,20111,98.0806142034549,105.25231719876416,-1.9193857965451002,5.25231719876416,6.229199878343472,0.9768826795793117,True,False
17,20111,106.4056779430312,103.86680305960968,6.405677943031193,3.86680305960968,-1.2901826485875345,-5.156985708197214,True,True
1,20121,103.84615384615384,103.3092037228542,3.8461538461538396,3.309203722854207,-3.5075825334544897,-6.8167862563086965,True,True
2,20121,95.68204121687928,92.94566253574833,-4.317958783120716,-7.054337464251674,-6.767806170123059,0.2865312941286149,True,False
5,20121,99.00891972249752,95.14285714285715,-0.9910802775024763,-4.857142857142847,-5.1801088462124945,-0.32296598906964746,True,False
6,20121,98.40162754814035,98.2236205220602,-1.598372451859646,-1.7763794779397983,-2.5604349864681075,-0.7840555085283092,True,False
7,20121,105.53070340834805,100.62131436048509,5.530703408348046,0.621314360485087,-0.29863065673250144,-0.9199450172175885,True,True
8,20121,96.27335978711992,95.27718057221055,-3.726640212880085,-4.722819427789446,-1.2839675577662857,3.4388518700231603,True,False
9,20121,99.86606222954872,97.30950707760265,-0.13393777045128274,-2.690492922397354,-4.650637871414509,-1.9601449490171552,True,False
