city_id,year,avg_gross_monthly_wage_pln,population_mid_year,primary_annual_transaction_price_pln_m2,secondary_annual_transaction_price_pln_m2,primary_price_quarters_available,secondary_price_quarters_available,primary_affordability_m2,primary_annual_price_yoy_pct,primary_affordability_yoy_pct,secondary_affordability_m2,secondary_annual_price_yoy_pct,secondary_affordability_yoy_pct,wage_yoy_pct,transactions,transaction_quarters_available,sold_units,sold_units_quarters_available,sold_area_m2,sold_area_quarters_available,avg_sold_area_m2,transactions_full_year_available,sold_units_full_year_available,transactions_per_1000,sold_units_per_1000,completed,started,completed_months_available,started_months_available,started_full_year_available,completed_full_year_available,started_per_1000,completed_per_1000,completed_h1,started_h1,completed_h1_months_available,started_h1_months_available,started_h1_yoy_pct,completed_h1_yoy_pct
1,2005,2365.0,292138.0,,,,,,,,,,,,,,,,,,,,,,,1225.0,1338.0,12.0,12.0,True,True,4.580027247396778,4.193223750419323,383.0,386.0,6.0,6.0,,
1,2006,2478.96,295210.0,,,,,,,,,,,,,,,,,,,,,,,1219.0,1850.0,12.0,12.0,True,True,6.266725381931506,4.129263913824057,496.0,540.0,6.0,6.0,39.896373056994825,29.503916449086166
1,2007,2715.96,294817.0,4413.0,4029.657867142557,4.0,4.0,0.6154452753229096,,,0.6739927034862381,,,,,,,,,,,,,,,1667.0,1722.0,12.0,12.0,True,True,5.840911480681236,5.654355074503845,402.0,608.0,6.0,6.0,12.592592592592599,-18.95161290322581
1,2008,2994.05,294265.0,5112.75,4410.509268237246,4.0,4.0,0.5856046159112024,15.85656016315431,-4.848629213385469,0.6788445093091565,9.451209349560784,0.719860288964913,10.239105141460115,,,,,,,,,,,,1574.0,2058.0,12.0,12.0,True,True,6.993696158224729,5.348920190984317,628.0,675.0,6.0,6.0,11.019736842105265,56.21890547263681
1,2009,3144.6,294399.0,4901.5,4043.3258123678147,4.0,4.0,0.6415587065184127,-4.1318272945088275,9.554926495950799,0.7777260962698647,-8.325194065767915,14.566161411740296,5.0283061405119955,,,,,,,,,,,,1533.0,1300.0,12.0,12.0,True,True,4.415775868803903,5.207218774520294,483.0,345.0,6.0,6.0,-48.88888888888889,-23.089171974522294
1,2010,3241.41,293946.0,4769.75,4150.916042361164,4.0,4.0,0.6795764977200063,-2.6879526675507526,5.9258475982513215,0.780890282270366,2.6609339683745015,0.4068509486408578,3.0786109521083738,1491.0,4.0,1496.0,4.0,80612.1,4.0,53.885093582887706,True,True,5.072360229429895,5.089370156423288,1630.0,2075.0,12.0,12.0,True,True,7.059119702258237,5.54523619984623,736.0,578.0,6.0,6.0,67.53623188405797,52.38095238095237
1,2011,3360.36,294197.0,4761.75,4308.561283587652,4.0,4.0,0.7056985352023941,-0.16772367524503506,3.8438700528973246,0.779926239601238,3.797842202002588,-0.12345430478725161,3.6696992975279397,1766.0,4.0,1822.0,4.0,98722.1,4.0,54.183369923161365,True,True,6.002780449834635,6.193129093770501,1711.0,1191.0,12.0,12.0,True,True,4.048307766564581,5.815830888826195,592.0,485.0,6.0,6.0,-16.089965397923876,-19.565217391304344
1,2012,3493.98,294675.0,4456.25,4050.3846930858263,4.0,4.0,0.7840628330995792,-6.4157085105265965,11.104500574697983,0.8626291734620586,-5.992176355603496,10.603942996340932,3.9763596757490305,2045.0,4.0,2056.0,4.0,107206.29999999999,4.0,52.1431420233463,True,True,6.939848986171206,6.977178247221516,2249.0,2013.0,12.0,12.0,True,True,6.831254772206669,7.632137100195131,1074.0,1148.0,6.0,6.0,136.70103092783506,81.41891891891892
1,2013,3627.02,294925.0,4514.25,3900.792559549148,4.0,4.0,0.8034601539569142,1.3015427769985877,2.4739497956628,0.929816170593601,-3.6932821169317176,7.78863029427761,3.807692087533421,2090.0,4.0,2069.0,4.0,108305.70000000001,4.0,52.34688255195747,True,True,7.086547427312028,7.015342883784013,1574.0,1324.0,12.0,12.0,True,True,4.489276934813936,5.3369500720522165,403.0,643.0,6.0,6.0,-43.98954703832752,-62.47672253258845
1,2014,3706.73,295401.0,4497.5,3935.4661127066693,4.0,4.0,0.8241756531406337,-0.3710472392977837,2.578285815631176,0.9418782664731541,0.8888848260500515,1.297255980378642,2.1976719179932935,2399.0,4.0,2412.0,4.0,122371.3,4.0,50.734369817578774,True,True,8.121164112511467,8.165172088110738,1736.0,2031.0,12.0,12.0,True,True,6.875399880162897,5.87675735694869,860.0,699.0,6.0,6.0,8.709175738724717,113.39950372208438
