"Kod";"Nazwa";"Zakres terytorialny";"Miejsce zamieszkania / zameldowania";"Stan na dzień";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"1996";980728;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"1997";980394;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"1998";979600;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"1999";978382;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2000";943852;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2001";943362;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2002";942421;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2003";1002120;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2004";1000802;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2005";998429;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2006";995962;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2007";994286;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2008";993499;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2009";993905;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2010";1020263;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2011";1020264;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2012";1020259;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2013";963142;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2014";961864;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2015";960753;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2016";959316;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2017";958779;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2018";958775;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2019";958144;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2020";953788;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2021";949119;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2022";945675;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2023";942394;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2024";939896;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"mężczyźni";"2025";935869;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"1995";1023564;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"1996";1024897;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"1997";1025230;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"1998";1025200;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"1999";1024690;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2000";998037;"osoba";"";
