"Kod";"Nazwa";"Okresy";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2213000;"Powiat starogardzki";"1 kwartał";"ogółem";"ogółem";"2023";5245,0;"m2";"";
2213000;"Powiat starogardzki";"1 kwartał";"ogółem";"ogółem";"2024";9193,0;"m2";"";
2213000;"Powiat starogardzki";"1 kwartał";"ogółem";"ogółem";"2025";;"m2";"n";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2010";2521,6;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2011";2967,1;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2012";2121,9;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2013";2179,9;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2014";1977,5;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2015";2934,8;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2016";2984,4;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2017";3679,1;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2018";4109,2;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2019";4322,1;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2020";7620,9;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2021";6273,3;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2022";3948,1;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2023";6022,0;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2024";6821,0;"m2";"";
2213000;"Powiat starogardzki";"2 kwartał";"ogółem";"ogółem";"2025";;"m2";"n";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2010";2022,7;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2011";2529,4;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2012";2163,4;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2013";1965,1;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2014";3584,0;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2015";2880,9;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2016";2975,6;"m2";"";
